Time,CPU Usage (%)
[TIME]2023-12-20 00:57:09, [CPU]80.552443
[TIME]2023-12-20 00:58:09, [CPU]80.973907
[TIME]2023-12-20 00:59:09, [CPU]74.411109
[TIME]2023-12-20 01:00:09, [CPU]74.411109
[TIME]2023-12-20 01:01:09, [CPU]72.725252
[TIME]2023-12-20 01:02:09, [CPU]72.725252
[TIME]2023-12-20 01:03:09, [CPU]72.725252
[TIME]2023-12-20 01:04:09, [CPU]72.725252
[TIME]2023-12-20 01:05:09, [CPU]73.267135
[TIME]2023-12-20 01:06:09, [CPU]73.568180
[TIME]2023-12-20 01:07:09, [CPU]73.387553
[TIME]2023-12-20 01:08:09, [CPU]73.628390
[TIME]2023-12-20 01:09:09, [CPU]74.110063
[TIME]2023-12-20 01:10:09, [CPU]74.110063
[TIME]2023-12-20 01:11:09, [CPU]76.157174
[TIME]2023-12-20 01:12:09, [CPU]77.843030
[TIME]2023-12-20 01:13:09, [CPU]77.120521
[TIME]2023-12-20 01:14:09, [CPU]77.120521
[TIME]2023-12-20 01:15:09, [CPU]77.120521
[TIME]2023-12-20 01:16:09, [CPU]77.361357
[TIME]2023-12-20 01:17:09, [CPU]78.685959
[TIME]2023-12-20 01:18:09, [CPU]78.926795
[TIME]2023-12-20 01:19:09, [CPU]77.481776
[TIME]2023-12-20 01:20:09, [CPU]77.481776
[TIME]2023-12-20 01:21:09, [CPU]78.384913
[TIME]2023-12-20 01:22:09, [CPU]78.987004
[TIME]2023-12-20 01:23:09, [CPU]77.361357
[TIME]2023-12-20 01:24:09, [CPU]77.361357
[TIME]2023-12-20 01:25:09, [CPU]77.000102
[TIME]2023-12-20 01:26:09, [CPU]77.000102
[TIME]2023-12-20 01:27:09, [CPU]77.000102
[TIME]2023-12-20 01:28:09, [CPU]77.000102
[TIME]2023-12-20 01:29:09, [CPU]78.023658
[TIME]2023-12-20 01:30:09, [CPU]78.746168
[TIME]2023-12-20 01:31:09, [CPU]77.301148
[TIME]2023-12-20 01:32:09, [CPU]77.421566
